source_id,title,url,method,used_for,last_checked,notes
client_github,NOD_Project README,https://github.com/eajrapetyan-tech/NOD_Project/tree/main,manual_read,client_idea_and_scope,2026-05-16,"В README описана идея Save you in history и обязанности участника"
course_github,hse_nes_python lectures,https://github.com/jetminded/hse_nes_python/tree/main/lec,manual_read,technical_methods,2026-05-16,"В проекте использованы подходы из лекций: requests/BeautifulSoup, pandas, matplotlib, selenium"
gov_spb_2025,Официальный сайт Администрации Санкт-Петербурга: турпоток 2025,https://www.gov.spb.ru/press/governor/308952/,static_page,market_size_2025,2026-05-16,"12.4 млн поездок в 2025, вклад 843.1 млрд руб."
gov_spb_tourism_stats,Статистика Комитета по развитию туризма СПб,https://www.gov.spb.ru/gov/otrasl/c_tourism/statistic/,static_page,official_statistics_hub,2026-05-16,"Страница со ссылками на Турбарометр 2021-2025"
tourbarometer_2024_pdf,Туризм Санкт-Петербурга: итоги 2024,https://www.visit-petersburg.ru/upload/medialibrary/192/lzfo4d9xyej9n6xd8hjmqfrc842pjs6k/Turizm.-Itogi-2024-goda.pdf,pdf_extract,target_audience_and_economy,2026-05-16,"Данные по целям поездки, NPS, семейным туристам, структуре потребления"
visit_petersburg_places,Visit Petersburg: Места,https://visit-petersburg.ru/leisure/places/,static_parser,launch_zone_candidates,2026-05-16,"Официальный туристский портал: достопримечательности и адреса"
two_gis_restaurants,2GIS: рестораны СПб,https://2gis.ru/spb/search/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D1%8B%20%D0%A1%D0%9F%D0%B1%20%28%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0%29,static_parser,b2b_partner_market,2026-05-16,"Каталог показывает 4105 мест по запросу ресторанов"
two_gis_hotels,2GIS: гостиницы СПб,https://2gis.ru/spb/search/%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B8%D1%86%D1%8B%20%28%D0%BE%D1%82%D0%B5%D0%BB%D0%B8%29/rubricId/269,static_parser,b2b_partner_market,2026-05-16,"Каталог показывает 1281 гостиницу/отель"
two_gis_food_rubrics,2GIS: Поесть в Санкт-Петербурге,https://2gis.ru/spb/rubrics/subrubrics/111546,static_parser,b2b_partner_market,2026-05-16,"Рубрикатор заведений питания с количеством организаций"
unesco_spb,UNESCO World Heritage Centre: Historic Centre of Saint Petersburg,https://whc.unesco.org/en/list/540/,static_page,historical_positioning,2026-05-16,"Исторический центр СПб включен в список Всемирного наследия"
