metric,year,segment,value,unit,source_id,comment
trip_purpose_share,2024,cultural_cognitive,51.4,percent,tourbarometer_2024_pdf,"Культурно-познавательные цели, 5.5 млн поездок"
trip_purpose_share,2024,visit_friends_relatives,24.2,percent,tourbarometer_2024_pdf,"Встреча с родственниками и друзьями"
trip_purpose_share,2024,business,10.4,percent,tourbarometer_2024_pdf,"Деловой туризм"
trip_purpose_share,2024,event,3.7,percent,tourbarometer_2024_pdf,"Событийный туризм"
trip_purpose_share,2024,medical,3.2,percent,tourbarometer_2024_pdf,"Медицинский туризм"
trip_purpose_share,2024,education,3.7,percent,tourbarometer_2024_pdf,"Образовательный туризм"
trip_purpose_share,2024,other,3.9,percent,tourbarometer_2024_pdf,"Прочие цели"
trip_purpose_volume,2024,cultural_cognitive,5.5,mln_trips,tourbarometer_2024_pdf,"Количество культурно-познавательных поездок"
family_trips_share,2024,total_family,54.3,percent,tourbarometer_2024_pdf,"Доля семейных туристов во внутреннем потоке"
family_trips_volume,2024,total_family,5.8,mln_trips,tourbarometer_2024_pdf,"Оценка семейного потока"
family_trips_volume,2024,with_children,3.1,mln_trips,tourbarometer_2024_pdf,"Семьи с детьми до 18 лет"
family_trips_volume,2024,without_children,2.7,mln_trips,tourbarometer_2024_pdf,"Семьи без детей"
family_purpose_share,2024,cultural_cognitive,66.5,percent,tourbarometer_2024_pdf,"Основная цель семейных туристов"
family_purpose_share,2024,visit_friends_relatives,19.3,percent,tourbarometer_2024_pdf,"Цель семейных туристов"
satisfaction_nps,2022,russian_tourists,86.0,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2023,russian_tourists,86.3,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2024,russian_tourists,86.4,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2022,foreign_near_abroad,64.2,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2023,foreign_near_abroad,69.3,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2024,foreign_near_abroad,83.2,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2022,foreign_far_abroad,70.0,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2023,foreign_far_abroad,72.8,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
satisfaction_nps,2024,foreign_far_abroad,74.7,percent,tourbarometer_2024_pdf,"Индекс удовлетворенности поездкой"
origin_region_share,2024,moscow,21.0,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,novgorod_region,5.1,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,murmansk_region,4.9,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,moscow_region,4.6,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,pskov_region,4.4,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,tatarstan,4.0,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,vologda_region,3.8,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,vladimir_region,2.9,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,voronezh_region,2.7,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,samara_region,2.3,percent,tourbarometer_2024_pdf,"Топ-10 регионов внутреннего потока"
origin_region_share,2024,other_regions,44.3,percent,tourbarometer_2024_pdf,"Прочие регионы"
